SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS
Struthio camelus,Common Ostrich,ostric2,2,STCA,,Struthioniformes,Ostriches,Struthionidae,
Struthio molybdophanes,Somali Ostrich,ostric3,7,STMO,,Struthioniformes,Ostriches,Struthionidae,
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,8,STMO STCA,,Struthioniformes,Ostriches,Struthionidae,
Casuarius casuarius,Southern Cassowary,soucas1,10,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Casuarius bennetti,Dwarf Cassowary,dwacas1,11,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Casuarius unappendiculatus,Northern Cassowary,norcas1,14,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Dromaius novaehollandiae,Emu,emu1,15,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,
Apteryx australis,Southern Brown Kiwi,sobkiw1,21,APAU,,Apterygiformes,Kiwis,Apterygidae,
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,22,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,23,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,24,APRO,,Apterygiformes,Kiwis,Apterygidae,
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,25,APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,26,APAU APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx owenii,Little Spotted Kiwi,liskiw1,27,APOW,,Apterygiformes,Kiwis,Apterygidae,
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,28,APOW APRO,,Apterygiformes,Kiwis,Apterygidae,
Apteryx maxima,Great Spotted Kiwi,grskiw1,29,APMA,,Apterygiformes,Kiwis,Apterygidae,
Apteryx sp.,kiwi sp.,kiwi1,30,,,Apterygiformes,Kiwis,Apterygidae,
Rhea americana,Greater Rhea,grerhe1,32,RHAM,,Rheiformes,Rheas,Rheidae,
Rhea pennata,Lesser Rhea,lesrhe2,38,RHPE,,Rheiformes,Rheas,Rheidae,
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,39,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,42,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2
Tinamotis pentlandii,Puna Tinamou,puntin1,44,TIPE,,Tinamiformes,Tinamous,Tinamidae,
Tinamotis ingoufi,Patagonian Tinamou,pattin1,45,TIIN,,Tinamiformes,Tinamous,Tinamidae,
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,46,EUFO,,Tinamiformes,Tinamous,Tinamidae,
Eudromia elegans,Elegant Crested-Tinamou,elctin1,49,EUEL,,Tinamiformes,Tinamous,Tinamidae,
Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,50,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1
Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,54,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1
Taoniscus nanus,Dwarf Tinamou,dwatin1,62,TANA,,Tinamiformes,Tinamous,Tinamidae,
Nothura boraquira,White-bellied Nothura,whbnot1,63,NOBO,,Tinamiformes,Tinamous,Tinamidae,
Nothura minor,Lesser Nothura,lesnot1,64,NOMI,,Tinamiformes,Tinamous,Tinamidae,
Nothura darwinii,Darwin's Nothura,darnot1,65,NODA,,Tinamiformes,Tinamous,Tinamidae,
Nothura maculosa,Spotted Nothura,sponot1,71,NOMA,,Tinamiformes,Tinamous,Tinamidae,
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,81,NOMA NOBO,,Tinamiformes,Tinamous,Tinamidae,
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,82,NOMI NOMA,,Tinamiformes,Tinamous,Tinamidae,
Nothura darwinii/maculosa,Darwin's/Spotted Nothura,y01375,83,NOMA NODA,,Tinamiformes,Tinamous,Tinamidae,
Rhynchotus maculicollis,Huayco Tinamou,huatin1,84,RHMA,,Tinamiformes,Tinamous,Tinamidae,
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,85,RHRU,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta cinerascens,Brushland Tinamou,brutin1,89,NOCI,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta pentlandii,Andean Tinamou,andtin1,92,NOPE,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta pentlandii [oustaleti Group],Andean Tinamou (Northern),andtin10,93,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1
Nothoprocta pentlandii [pentlandii Group],Andean Tinamou (Southern),andtin11,97,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,103,NOCU,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta ornata,Ornate Tinamou,orntin1,106,NOOR,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,110,NOTA,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta perdicaria,Chilean Tinamou,chitin1,111,NOPE,,Tinamiformes,Tinamous,Tinamidae,
Nothoprocta sp.,Nothoprocta sp.,nothop1,114,,,Tinamiformes,Tinamous,Tinamidae,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,115,NOJU,,Tinamiformes,Tinamous,Tinamidae,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,116,NONI,,Tinamiformes,Tinamous,Tinamidae,
Nothocercus bonapartei,Highland Tinamou,higtin1,119,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,120,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,121,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1
Tinamus major,Great Tinamou,gretin1,126,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,
Tinamus solitarius,Solitary Tinamou,soltin1,139,TISO,,Tinamiformes,Tinamous,Tinamidae,
Tinamus tao,Gray Tinamou,grytin1,140,TITA,,Tinamiformes,Tinamous,Tinamidae,
Tinamus guttatus,White-throated Tinamou,whttin1,145,TIGU,,Tinamiformes,Tinamous,Tinamidae,
Tinamus osgoodi,Black Tinamou,blatin1,146,TIOS,,Tinamiformes,Tinamous,Tinamidae,
Tinamus osgoodi hershkovitzi,Black Tinamou (Colombian),blktin1,147,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1
Tinamus osgoodi osgoodi,Black Tinamou (Peruvian),blktin2,148,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1
Tinamus sp.,Tinamus sp.,tinamu1,149,,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,150,CRBE,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus cinereus,Cinereous Tinamou,cintin1,151,CRCI,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus ptaritepui,Tepui Tinamou,teptin1,152,CRPT,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,153,CRPA,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus tataupa,Tataupa Tinamou,tattin1,154,CRTA,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus obsoletus,Brown Tinamou,brotin1,159,CROB,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus obsoletus cerviniventris/knoxi,Brown Tinamou (Venezuelan),brntin11,160,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1
Crypturellus obsoletus castaneus,Brown Tinamou (Ecuadorian),brntin1,163,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1
Crypturellus obsoletus [punensis Group],Brown Tinamou (Andean),brntin2,164,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1
Crypturellus obsoletus griseiventris,Brown Tinamou (Amazonian),brntin8,168,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1
Crypturellus obsoletus obsoletus,Brown Tinamou (Atlantic),brntin10,169,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1
Crypturellus variegatus,Variegated Tinamou,vartin1,170,CRVA,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus bartletti,Bartlett's Tinamou,bartin2,171,CRBA,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus casiquiare,Barred Tinamou,bartin1,172,CRCA,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus brevirostris,Rusty Tinamou,rustin1,173,CRBR,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus soui,Little Tinamou,littin1,174,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,
Crypturellus undulatus,Undulated Tinamou,undtin1,189,CRUN,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,196,CRNO,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,197,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,198,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,199,CRAT,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,202,CRTR,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,203,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,204,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,205,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,214,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,
Crypturellus kerriae,Choco Tinamou,chotin1,217,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,
Crypturellus erythropus,Red-legged Tinamou,reltin1,218,CRER,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus duidae,Gray-legged Tinamou,gyltin1,226,CRDU,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus strigulosus,Brazilian Tinamou,bratin1,227,CRST,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus [undescribed form],Serra do Divisor Tinamou (undescribed form),sddtin1,228,,,Tinamiformes,Tinamous,Tinamidae,
Crypturellus sp.,Crypturellus sp.,cryptu1,229,,,Tinamiformes,Tinamous,Tinamidae,
Tinamidae sp.,tinamou sp.,tinamo1,230,,,Tinamiformes,Tinamous,Tinamidae,
Anhima cornuta,Horned Screamer,horscr1,232,ANCO,,Anseriformes,Screamers,Anhimidae,
Chauna torquata,Southern Screamer,souscr1,233,CHTO,,Anseriformes,Screamers,Anhimidae,
Chauna chavaria,Northern Screamer,norscr1,234,CHCH,,Anseriformes,Screamers,Anhimidae,
Anseranas semipalmata,Magpie Goose,maggoo1,236,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,238,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,239,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,240,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,241,DEGU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),x01218,242,DEEY DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,243,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (Northern),bkbwhd1,244,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (Southern),bkbwhd2,245,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc
Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141,246,DEAU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,247,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,248,DEAR DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,249,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,250,DEVI DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,251,DEAU DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,252,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),x00990,256,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,y01227,257,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,258,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080,259,DEJA DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360,260,DEAR DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Dendrocygna sp.,whistling-duck sp.,whistl1,261,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Thalassornis leuconotus,White-backed Duck,whbduc1,262,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser indicus,Bar-headed Goose,bahgoo,265,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser canagicus,Emperor Goose,empgoo,266,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens,Snow Goose,snogoo,267,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),x00991,270,ANIN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser canagicus x caerulescens,Emperor x Snow Goose (hybrid),x01176,271,ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser rossii,Ross's Goose,rosgoo,272,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,273,ANRO ANCA,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,274,ANRO ANCA,SRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser,Graylag Goose,gragoo,275,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser anser,Graylag Goose (European),gragoo2,276,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,277,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,278,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo
Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),x00992,279,ANIN ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser canagicus x anser,Emperor x Graylag Goose (hybrid),x01119,280,ANAN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser cygnoides,Swan Goose,swagoo1,281,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,282,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,swagoo1
Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),x01143,283,ANIN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),x01144,284,ANCY ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),x01142,285,ANIN ANCA ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776,286,ANAN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons,Greater White-fronted Goose,gwfgoo,287,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,288,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,289,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2,290,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,293,ANAL,TWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,294,ANIN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361,295,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,296,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362,297,ANRO ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),x01145,298,ANAN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser erythropus,Lesser White-fronted Goose,lwfgoo,299,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,300,ANER ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser fabalis,Taiga Bean-Goose,taibeg1,301,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser fabalis fabalis/johanseni,Taiga Bean-Goose (Western),taibeg5,302,ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,taibeg1
Anser fabalis middendorffii,Taiga Bean-Goose (Eastern),taibeg4,305,ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,taibeg1
Anser serrirostris,Tundra Bean-Goose,tunbeg1,306,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons x serrirostris,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),x01089,309,ANSE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,310,ANSE ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser brachyrhynchus,Pink-footed Goose,pifgoo,311,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,312,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser sp.,Anser sp.,anser1,313,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta bernicla,Brant,brant,314,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,315,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Branta bernicla hrota,Brant (Pale-bellied),atlbra1,316,BRBE,ATBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Branta bernicla nigricans,Brant (Black),blkbra1,317,BRBE,BLBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,318,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Branta bernicla bernicla x nigricans,Brant (Dark-bellied x Black),brant2,319,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Branta bernicla hrota x nigricans,Brant (Pale-bellied x Black),brant1,320,BRBE,BABI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,321,BRBE ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta leucopsis,Barnacle Goose,bargoo,322,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser indicus x Branta leucopsis,Bar-headed x Barnacle Goose (hybrid),x00363,323,ANIN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser canagicus x Branta leucopsis,Emperor x Barnacle Goose (hybrid),x00993,324,ANCA BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens x Branta leucopsis,Snow x Barnacle Goose (hybrid),x00994,325,ANCA BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser rossii x Branta leucopsis,Ross's x Barnacle Goose (hybrid),x00995,326,ANRO BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser x Branta leucopsis,Graylag x Barnacle Goose (hybrid),x00649,327,ANAN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons x Branta leucopsis,Greater White-fronted x Barnacle Goose (hybrid),x00757,328,BRLE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser erythropus x Branta leucopsis,Lesser White-fronted x Barnacle Goose (hybrid),x00364,329,ANER BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser brachyrhynchus x Branta leucopsis,Pink-footed x Barnacle Goose (hybrid),x00756,330,BRLE ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta hutchinsii,Cackling Goose,cacgoo1,331,BRHU,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta hutchinsii leucopareia,Cackling Goose (Aleutian),alcgoo1,332,BRHU,ACGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1
Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),ricgoo1,333,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1
Branta hutchinsii minima,Cackling Goose (minima),cacgoo2,334,BRHU,MCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1
Branta hutchinsii taverneri,Cackling Goose (Taverner's),tacgoo1,335,BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cacgoo1
Anser canagicus x Branta hutchinsii,Emperor x Cackling Goose (hybrid),x00831,336,ANCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),x00692,337,ANCA BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),x00694,338,ANRO BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),x00722,339,BRBE BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),x00414,340,BRHU ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),x00416,341,BRHU BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta canadensis,Canada Goose,cangoo,342,BRCA,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),cangoo4,343,BRCA,LCGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo
Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),cangoo3,346,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo
Branta canadensis [canadensis Group],Canada Goose (canadensis Group),cangoo1,349,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,cangoo
Anser indicus x Branta canadensis,Bar-headed x Canada Goose (hybrid),x00908,353,ANIN BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser cygnoides x Branta canadensis,Swan x Canada Goose (hybrid),swagoo3,354,BRCA ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),x00650,355,BRCA ANBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),x00415,356,BRCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser albifrons x Branta hutchinsii/canadensis,Greater White-fronted x Cackling/Canada Goose (hybrid),x01088,357,BRCA ANAL BRHU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser anser x Branta canadensis,Graylag x Canada Goose (hybrid),x00758,358,ANAN BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid),x00759,359,BRCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,
